no._serie,alias,marca,modelo,distribuidor,ciudad,estado,Segmento,horometro,odometro,distancia,t._encendido_hrs,t._apagado_hrs,total_servicios,cerrados,c.fuera,pendientes,DOE_Prom_Mensual,MA_Potencial_Perdido,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,CEM,horas_24_25_total,horas_24_25_prom_mensual,meses_activos,desfase_max,desfase_prom,dmu_actual_max,mant_registrados,max_omisiones_consecutivas,servicios_omitidos_estimados,dist_unidades,dist_doe_prom,dist_distancia_prom,dist_horometro_prom,dist_meses_activos_prom,BajoCEM_regla_negocio
17076606,353738102816491,JOHN DEERE,5076E,AGROSURTE,CELAYA,GUANAJUATO,AGRICOLA,7389.68,9612.43,0.0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,,,0,0,0,40,16.911324786324787,2.5555,2507.72075,11.725,0
1FTRF12246NA93868,354514101521765,,,,,,OTRO,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,,,,0,0,0,590,2.673076923076923,0.0,0.0,0.10338983050847457,0
1LV3005GJCG510552,353738102823752,JOHN DEERE,3005,AGROSURTE,CELAYA,GUANAJUATO,AGRICOLA,4621.69,3832.71,0.0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,,,0,0,0,40,16.911324786324787,2.5555,2507.72075,11.725,0
1P05090EAG0032351,ATN-356052105290275,JOHN DEERE,5090,ATN,SAN FELIPE DEL PROGRESO,MEXICO,AGRICOLA,11198.68,22.73,0.0,0.0,24.0,0,0,0,0,27.458333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,1.0,1.0,28.0,102.0,194.0,182.0,86.0,39.0,3.0,0.0,0.0,0.0,0.0,,659.0,59.90909090909091,11,,,,0,0,0,830,29.156224899598396,7.416855421686747,1749.198,11.154216867469879,0
1P05715XTK0036519,ATN-356052100936427,JOHN DEERE,5090,ATN,VENADO,SAN LUIS POTOSI,AGRICOLA,6082.1,45.57,0.0,0.0,24.0,0,0,0,0,9.208333333333334,0.0,25.0,69.0,41.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,16.0,3.0,29.0,6.0,0.0,15.0,6.0,2.0,0.0,0.0,0.0,0.0,,221.0,18.416666666666668,12,,,,0,0,0,830,29.156224899598396,7.416855421686747,1749.198,11.154216867469879,0
1P05715XTN4037490,MADISA-866392061522896,JOHN DEERE,,MADISAGRAL,HUIMANGUILLO,TABASCO,AGRICOLA,192.23,33.34,0.0,0.0,24.0,0,0,0,0,2.125,0.0,39.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.0,25.5,2,,,,0,0,0,1439,23.87344483568075,6.610729673384295,1134.7913134120918,12.715774843641418,0
1P06155JCH0006640,353738103060131,JOHN DEERE,6155J,ARBSA,SAN LUIS RIO COLORADO,SONORA,AGRICOLA,2925.46,248.82,29.0,6.33,17.67,0,0,0,0,90.33333333333333,0.0,131.0,114.0,87.0,86.0,98.0,92.0,128.0,114.0,102.0,128.0,97.0,75.0,118.0,102.0,97.0,36.0,77.0,101.0,89.0,89.0,90.0,43.0,22.0,52.0,,2168.0,90.33333333333333,24,,,,0,0,0,477,31.73800770308123,6.716960167714885,1789.0490775681342,13.756813417190775,0
1P06155JJL0007326,GAMSA - 6155J,JOHN DEERE,6155J,ATC,TALA,JALISCO,AGRICOLA,9036.0,92.48,0.0,0.0,24.0,0,0,0,0,83.79166666666667,0.0,198.0,226.0,146.0,185.0,210.0,101.0,2.0,28.0,55.0,87.0,132.0,92.0,118.0,52.0,93.0,82.0,131.0,46.0,13.0,14.0,0.0,0.0,0.0,0.0,,2011.0,100.55,20,,,,0,0,0,478,34.9190350877193,5.517907949790795,1830.393640167364,14.152719665271967,0
1P06403XHM0040806,JD - 6403E,JOHN DEERE,6425,ATC,ABASOLO,NUEVO LEON,AGRICOLA,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,,,0,0,0,478,34.9190350877193,5.517907949790795,1830.393640167364,14.152719665271967,0
1P06425XTF0021057,353738102820972,JOHN DEERE,6425,AGROSURTE,CELAYA,GUANAJUATO,AGRICOLA,10611.36,10706.62,0.0,0.0,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,,,0,0,0,40,16.911324786324787,2.5555,2507.72075,11.725,0
