no._serie,mant_registrados,DMU,DMU_log1p,DMU_log1p_2
2255000059,1,84.0,4.442651256490317,19.737150186794988
365738M-00K11C,3,71.0,4.276666119016055,18.28987309353985
368928M,2,139.0,4.941642422609304,24.41982983293195
375148M-NE154389,3,0.0,0.0,0.0
4100004M-001721038,1,0.0,0.0,0.0
4100032M-001862923,1,2.0,1.0986122886681096,1.2069489608125816
4100033M-001883885,16,196.0,5.2832037287379885,27.912241639350984
4100035M-001870282,5,0.0,0.0,0.0
4100037M-001869036,1,0.0,0.0,0.0
4100039M-001871852,4,0.0,0.0,0.0
4100041M-001871869,3,0.0,0.0,0.0
4100042M-001870283,1,0.0,0.0,0.0
4100043M-001872180,3,92.0,4.532599493153256,20.544458165333154
4100044M-001872179,1,63.0,4.1588830833596715,17.296308501055247
4100045M-001871864,5,167.0,5.123963979403259,26.25500686222208
4100046M-001871863,5,34.0,3.5553480614894135,12.640499838336531
4100047M-001868525,2,21.0,3.091042453358316,9.554543448463397
4100048M-001872181,2,254.0,5.541263545158426,30.705601676901725
4100049M-001900489,5,82.0,4.418840607796598,19.52615231711221
4100050M-001931400,4,0.0,0.0,0.0
4100051M,2,0.0,0.0,0.0
4100052M-001923811,6,66.0,4.204692619390966,17.67944002356086
4100053M-001929988,7,85.0,4.454347296253507,19.84120983564093
4100054M-001930722,3,0.0,0.0,0.0
4100055M-001930033,4,0.0,0.0,0.0
4100057M-001930816,2,0.0,0.0,0.0
4100058M-001923812,6,71.0,4.276666119016055,18.28987309353985
4100059M-001883259,4,473.0,6.161207321695077,37.960475660909026
4100060M-001883265,2,96.0,4.574710978503383,20.927980536839378
4100061M-001870239,5,0.0,0.0,0.0
4100062M-001944824,2,58.0,4.07753744390572,16.62631160645319
4100063M-001901651,4,0.0,0.0,0.0
4100064M-001882515,7,0.0,0.0,0.0
4100065M-001901652,3,0.0,0.0,0.0
4100066M-001901659,3,56.0,4.04305126783455,16.346263554338563
4100067M-001898891,4,5.0,1.791759469228055,3.210401995568401
4100068M-001901657,6,53.0,3.9889840465642745,15.911993723744294
4100069M-001901663,2,66.0,4.204692619390966,17.67944002356086
4100070M-001925771,6,170.0,5.14166355650266,26.436704128267586
4100071M-001929862,1,84.0,4.442651256490317,19.737150186794988
4100072M-001901667,4,82.0,4.418840607796598,19.52615231711221
4100073M-001902310,2,0.0,0.0,0.0
4100074M-001901656,4,0.0,0.0,0.0
4100075M-001902144,2,83.0,4.430816798843313,19.632137504912105
4100076M-001902146,2,0.0,0.0,0.0
4100077M,3,248.0,5.517452896464707,30.44228646470679
4100078M-001944834,1,0.0,0.0,0.0
4100079M-001882512,3,62.0,4.143134726391533,17.16556536103144
4100080M-001901670,1,0.0,0.0,0.0
4100081M-001883060,2,0.0,0.0,0.0
4100082M-001883269,6,68.0,4.23410650459726,17.927657892272823
4100083M-001883261,2,0.0,0.0,0.0
4100084M-001940929,3,29.0,3.4011973816621555,11.568143629025503
4100085M-001944826,6,0.0,0.0,0.0
4100086M-001949388,6,71.0,4.276666119016055,18.28987309353985
4100088M-001944827,5,0.0,0.0,0.0
4100089M-001882518,2,0.0,0.0,0.0
4100091M-001958816,4,0.0,0.0,0.0
4100092M-001882700,3,0.0,0.0,0.0
4100093M-001887775,3,0.0,0.0,0.0
4100094M-001887773,5,0.0,0.0,0.0
4100096M-001887769,6,100.0,4.61512051684126,21.299337384969135
4100097M-001887768,2,114.0,4.74493212836325,22.5143809027738
4100098M-001883258,4,184.0,5.220355825078325,27.252114940429202
4100099M-001898979,3,0.0,0.0,0.0
4100100M-001898978,3,42.0,3.7612001156935624,14.146626310293268
4100101M-001963631,5,29.0,3.4011973816621555,11.568143629025503
4100103M-001963859,6,16.0,2.833213344056216,8.027097852938207
4100104M-001894422,5,157.0,5.062595033026967,25.629868468429315
4100105M-001894473,3,0.0,0.0,0.0
4100106M-001894395,8,52.0,3.970291913552122,15.76321787881737
4100107M-001887771,2,0.0,0.0,0.0
4100108M-001894416,3,103.0,4.6443908991413725,21.570366824027207
4100109M-001930720,8,145.0,4.983606621708336,24.836334959935176
4100110M,6,101.0,4.624972813284271,21.39037352361862
4100111M,5,0.0,0.0,0.0
4100112M,5,0.0,0.0,0.0
4100113M,5,21.0,3.091042453358316,9.554543448463397
4100114M-001925769,12,760.0,6.634633357861686,44.01835979325103
4100115M-001955536,3,0.0,0.0,0.0
4100116M,5,230.0,5.442417710521793,29.619910535801278
4100117M-001932846,3,0.0,0.0,0.0
4100118M-001940930,2,0.0,0.0,0.0
4100119M-001894471,4,0.0,0.0,0.0
4100120M-001898893,3,111.0,4.718498871295094,22.264231598413076
4100121M-001896447,7,226.0,5.424950017481403,29.430082692171474
4100122M-001894419,1,0.0,0.0,0.0
4100123M-001894469,6,0.0,0.0,0.0
4100124M-001894414,4,47.0,3.8712010109078907,14.986197266854274
4100126M-001894470,5,36.0,3.6109179126442243,13.038728171854922
4100127M-001894468,3,0.0,0.0,0.0
4100128M-001894397,5,129.0,4.867534450455582,23.692891626371928
4100129M-001896448,3,9.0,2.302585092994046,5.301898110478399
4100130M-001963906,5,230.0,5.442417710521793,29.619910535801278
4100131M-001949768,3,50.0,3.9318256327243257,15.459252806148044
4100132M-001963905,3,56.0,4.04305126783455,16.346263554338563
4100133M-001924270,2,0.0,0.0,0.0
4100134M-001925908,1,55.0,4.02535169073515,16.203456234104326
4100135M,1,0.0,0.0,0.0
4100136M-001882513,1,0.0,0.0,0.0
4100137M-001938124,6,107.0,4.68213122712422,21.922352828011753
4100138M-001950059,4,0.0,0.0,0.0
4100139M-001926029,1,0.0,0.0,0.0
4100140M-001938126,3,229.0,5.438079308923196,29.572706570138582
4100141M-001898901,3,14.0,2.70805020110221,7.333535891689721
4100142M,3,30.0,3.4339872044851463,11.79226812056771
4100143M-001926003,2,0.0,0.0,0.0
4100144M-001924683,6,38.0,3.6635616461296463,13.421683934992164
4100145M-001925943,4,0.0,0.0,0.0
4100146M-001950437,5,197.0,5.288267030694535,27.965768187930795
4100147M-001963860,5,58.0,4.07753744390572,16.62631160645319
4100148M-001963629,5,148.0,5.003946305945459,25.039478632785208
4100149M-001963537,2,13.0,2.639057329615259,6.964623588996021
4100150M-001955534,4,18.0,2.9444389791664403,8.669720902034708
4100151M-001987377,6,97.0,4.584967478670572,21.021926780466785
4100152M-001986571,1,3.0,1.3862943611198906,1.9218120556728056
