alias,marca,modelo,configuracion,no._serie,distribuidor,ciudad,estado,horometro,odometro,total_servicios,cerrados,c.fuera,pendientes,50,300,600,900,1200,1500,1800,2100,2400,latitud,longitud,combustible,distancia,vel._maxima_kph,vel._promedio_kph,t._encendido_hrs,t._apagado_hrs,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,servicio,hrmtro,actual,fecha,estatus,o.t.,tipo,CEM_Despase_Horas,CEM_Porcentaje_Error,DMU_Actual,DMU_Servicio,Mes_Servicio,Segmento,DOE_Prom_Mensual,MA_Potencial_Perdido,Target_Incumplimiento_Futuro,X_CEM_Pasado,X_DOE,X_Intensidad_Encendido,Probabilidad_Incumplimiento_900hrs
MODULO 74-1-865640063411935,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100074M-001901656,DASSA,SALVADOR ALVARADO,SINALOA,1658.86,122.98,6,5,0,1,CERRADA,CERRADA,CERRADA,CERRADA,CERRADA,PENDIENTE,,,,25.3602025,-108.1585328,0.0,0.0,0,0.0,0.0,24.0,47.0,19.0,10.0,3.0,27.0,0.0,127.0,65.0,92.0,106.0,69.0,6.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,44.0,105.0,85.0,73.0,3.0,600.0,600.0,1658.0,2024-05-16 18:11:00,CERRADA,148,Preventivo,0.0,0.0,1058.86,0.0,5.0,AGRICOLA,37.166666666666664,1500.0,0,0.0,37.166666666666664,0.0,0.4460238152608813
ARBSA - 4100077M,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100077M,ARBSA,ENSENADA,BAJA CALIFORNIA,1178.3,1051.28,5,3,1,2,CERRADA,CERRADA,CERRADAFUERA,CERRADA,PORVENCER,,,,,30.0794773,-115.695494,0.0,0.0,0,0.0,0.0,24.0,5.0,3.0,26.0,40.0,5.0,1.0,0.0,10.0,21.0,52.0,0.0,2.0,63.0,49.0,93.0,62.0,15.0,0.0,0.0,43.0,19.0,12.0,0.0,0.0,600.0,582.0,1178.0,2024-04-10 20:00:00,CERRADAFUERA,0,Preventivo,-18.0,3.0,596.3,0.0,4.0,AGRICOLA,21.708333333333332,1200.0,0,82.66666666666667,21.708333333333332,0.0,0.10256647072582029
AGROCISA - 4100081M,NEW HOLLAND AG,TS6.125,FWD 8X8 PS CABINA,4100081M-001883060,AGROCISAGRAL,SALAMANCA,GUANAJUATO,849.71,322.37,3,2,1,1,CERRADA,CERRADA,CERRADAFUERA,,,,,,,20.6409653,-101.1896196,0.0,0.0,0,0.0,0.0,24.0,22.0,26.0,10.0,22.0,10.0,2.0,2.0,4.0,0.0,0.0,27.0,129.0,37.0,18.0,13.0,11.0,57.0,2.0,9.0,4.0,2.0,1.0,9.0,35.0,600.0,565.0,849.0,2024-12-20 08:26:00,CERRADAFUERA,0,Preventivo,-35.0,5.833333333333333,284.71000000000004,0.0,12.0,AGRICOLA,18.833333333333332,0.0,0,0.0,18.833333333333332,0.0,0.15203773756081598
MADISA - 4100117M,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100117M-001932846,MADISAGRAL,TEZIUTLAN,PUEBLA,1056.13,189.81,4,2,1,2,CERRADA,CERRADA,CERRADAFUERA,PENDIENTE,,,,,,19.5873801,-97.3031525,73.53,33.81,9,5.12,6.72,17.28,26.0,8.0,8.0,15.0,8.0,8.0,0.0,13.0,39.0,39.0,38.0,0.0,48.0,52.0,34.0,43.0,0.0,60.0,3.0,27.0,20.0,7.0,35.0,34.0,600.0,566.0,1060.0,2025-02-19 13:40:00,CERRADAFUERA,NO APLICA,Preventivo,-34.0,5.666666666666666,490.1300000000001,0.0,2.0,AGRICOLA,23.541666666666668,900.0,0,13.333333333333334,23.541666666666668,6.72,0.07772548340568287
AGROCISA - 4100127M,NEW HOLLAND AG,TS6.125,FWD 8X8 PS CABINA,4100127M-001894468,AGROCISAGRAL,SAN FRANCISCO DEL RINCON,GUANAJUATO,947.93,30.24,4,1,3,3,CERRADAFUERA,CERRADA,CERRADAFUERA,CERRADAFUERA,,,,,,21.107947,-101.8125703,0.0,0.0,0,0.0,0.0,24.0,59.0,6.0,0.0,2.0,30.0,12.0,2.0,0.0,1.0,12.0,29.0,86.0,11.0,7.0,34.0,33.0,74.0,29.0,1.0,3.0,25.0,38.0,6.0,0.0,600.0,560.0,947.0,2024-12-21 08:30:00,CERRADAFUERA,0,Preventivo,-40.0,6.666666666666667,387.92999999999995,0.0,12.0,AGRICOLA,20.833333333333332,0.0,0,0.0,20.833333333333332,0.0,0.27412363522290784
AGROCISA - 4100162M,NEW HOLLAND AG,TS6.125,FWD 8X8 PS CABINA,4100162M-001933059,AGROCISAGRAL,YURECUARO,MICHOACAN DE OCAMPO,715.23,229.48,3,2,1,1,CERRADA,CERRADA,CERRADAFUERA,,,,,,,20.278762,-102.3291746,0.0,0.0,0,0.0,0.0,24.0,55.0,18.0,18.0,11.0,42.0,21.0,4.0,3.0,2.0,3.0,47.0,12.0,14.0,14.0,41.0,39.0,30.0,2.0,8.0,4.0,3.0,3.0,4.0,16.0,600.0,560.0,715.0,2025-03-25 11:42:00,CERRADAFUERA,0,Preventivo,-40.0,6.666666666666667,155.23000000000002,0.0,3.0,AGRICOLA,17.25,0.0,0,11.333333333333332,17.25,0.0,0.08341998955009558
ENAGRI - 4100192M,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100192M-001925945,ENAGRI,COSALA,SINALOA,1281.52,366.36,21,4,0,17,CERRADA,PENDIENTE,CERRADA,CERRADA,CERRADA,,,,,24.0600128,-106.8949406,0.0,0.0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,109.0,119.0,65.0,92.0,69.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,106.0,80.0,121.0,85.0,600.0,560.0,1281.0,2025-08-01 13:00:00,CERRADA,NC14841,Preventivo,-40.0,6.666666666666667,721.52,0.0,8.0,AGRICOLA,35.75,300.0,0,218.00000000000003,35.75,0.0,0.26583811208791763
DASSA - 4100196M,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100196M-001931363,DASSA,NAVOLATO,SINALOA,752.64,1002.38,3,3,0,0,CERRADA,CERRADA,CERRADA,,,,,,,25.093344,-107.8400033,0.0,0.0,0,0.0,0.0,24.0,0.0,33.0,15.0,29.0,64.0,73.0,0.0,12.0,0.0,26.0,12.0,5.0,8.0,39.0,42.0,65.0,0.0,1.0,35.0,1.0,0.0,1.0,7.0,3.0,600.0,600.0,752.0,2025-04-23 10:22:00,CERRADA,619,Preventivo,0.0,0.0,152.64,0.0,4.0,AGRICOLA,19.625,0.0,0,0.0,19.625,0.0,0.15203773756081598
TRACTIESA - 4100200M,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100200M-001938125,ENAGRI,MAZATLAN,SINALOA,1728.07,51.77,6,3,0,3,CERRADA,CERRADA,CERRADA,PENDIENTE,PENDIENTE,PENDIENTE,,,,23.7476973,-106.7963631,3.87,0.14,7,0.52,0.42,23.58,1.0,6.0,9.0,9.0,70.0,59.0,124.0,69.0,85.0,142.0,48.0,62.0,53.0,32.0,0.0,2.0,0.0,1.0,79.0,20.0,26.0,47.0,15.0,35.0,600.0,598.0,1728.0,2024-06-08 20:38:00,CERRADA,NC14794,Preventivo,-2.0,0.33333333333333337,1130.07,0.0,6.0,AGRICOLA,41.416666666666664,3600.0,0,8.666666666666668,41.416666666666664,0.42,0.25365851886017865
ATC-4100202M-002020514,NEW HOLLAND AG,TS6.120 ELITE,FWD 8X8 MS CABINA,4100202M-002020514,ATC,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,GUANAJUATO,1456.33,61.65,3,3,0,0,,,CERRADA,CERRADA,CERRADA,,,,,21.1586268,-100.8409016,0.0,0.0,3,0.0,0.0,24.0,91.0,42.0,35.0,33.0,33.0,15.0,18.0,2.0,5.0,25.0,28.0,2.0,125.0,148.0,51.0,0.0,9.0,45.0,22.0,15.0,23.0,0.0,12.0,30.0,600.0,600.0,1456.0,2024-06-18 10:46:00,CERRADA,923540,Preventivo,0.0,0.0,856.3299999999999,0.0,6.0,AGRICOLA,33.708333333333336,0.0,0,1.6666666666666667,33.708333333333336,0.0,0.28428764237109316
