Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
,,,,6.375,0.0,CONSTRUCCION
,,,,0.0,0.0,AGRICOLA
,,,,58.333333333333336,0.0,CONSTRUCCION
,,,,0.0,0.0,AGRICOLA
,,,,85.16666666666667,0.0,AGRICOLA
8.0,0.0,0.31007751937984496,12900.0,33.083333333333336,0.0,AGRICOLA
10.0,69.0,0.5476190476190477,12600.0,33.083333333333336,0.0,AGRICOLA
12.0,0.0,0.28787878787878785,13200.0,33.083333333333336,0.0,AGRICOLA
,,,,3.0833333333333335,0.0,AGRICOLA
,,,,0.0,0.0,AGRICOLA
1.0,0.0,0.3703703703703704,10800.0,57.333333333333336,0.0,AGRICOLA
3.0,0.0,0.36036036036036034,11100.0,57.333333333333336,0.0,AGRICOLA
4.0,91.0,0.7982456140350878,11400.0,57.333333333333336,0.0,AGRICOLA
7.0,0.0,0.3418803418803419,11700.0,57.333333333333336,0.0,AGRICOLA
5.0,6.0,0.05,12000.0,57.333333333333336,0.0,AGRICOLA
1.0,104.0,0.9904761904761904,10500.0,28.375,0.0,AGRICOLA
3.0,0.0,0.3611111111111111,10800.0,28.375,0.0,AGRICOLA
4.0,39.0,0.35135135135135137,11100.0,28.375,0.0,AGRICOLA
3.0,0.0,0.22807017543859648,11400.0,28.375,0.0,AGRICOLA
,,,,0.08333333333333333,0.0,AGRICOLA
2.0,0.0,0.367816091954023,8700.0,90.41666666666667,0.0,AGRICOLA
4.0,0.0,0.3888888888888889,9000.0,90.41666666666667,0.0,AGRICOLA
4.0,170.0,1.7708333333333333,9600.0,90.41666666666667,0.0,AGRICOLA
5.0,186.0,1.8787878787878787,9900.0,90.41666666666667,0.0,AGRICOLA
5.0,0.0,0.21505376344086022,9300.0,90.41666666666667,0.0,AGRICOLA
12.0,0.0,0.37254901960784315,10200.0,90.41666666666667,0.0,AGRICOLA
2.0,0.0,0.38095238095238093,10500.0,90.41666666666667,0.0,AGRICOLA
4.0,0.0,0.3703703703703704,10800.0,90.41666666666667,0.0,AGRICOLA
11.0,0.0,0.07207207207207207,11100.0,90.41666666666667,0.0,AGRICOLA
,,,,27.458333333333332,0.0,AGRICOLA
,,,,0.0,0.0,AGRICOLA
1.0,1348.0,20.424242424242426,6600.0,120.54166666666667,0.0,AGRICOLA
2.0,0.0,0.48,7500.0,120.54166666666667,0.0,AGRICOLA
2.0,1047.0,15.17391304347826,6900.0,120.54166666666667,0.0,AGRICOLA
4.0,0.0,0.2413793103448276,8700.0,120.54166666666667,0.0,AGRICOLA
5.0,0.0,0.4871794871794872,7800.0,120.54166666666667,0.0,AGRICOLA
6.0,12.0,0.14285714285714285,8400.0,120.54166666666667,0.0,AGRICOLA
6.0,0.0,0.33333333333333337,8100.0,120.54166666666667,0.0,AGRICOLA
11.0,0.0,0.3888888888888889,7200.0,120.54166666666667,0.0,AGRICOLA
3.0,0.0,0.07526881720430108,9300.0,120.54166666666667,0.0,AGRICOLA
5.0,38.0,0.39583333333333337,9600.0,120.54166666666667,0.0,AGRICOLA
7.0,0.0,0.39215686274509803,10200.0,120.54166666666667,0.0,AGRICOLA
11.0,0.0,0.4444444444444444,9000.0,120.54166666666667,0.0,AGRICOLA
11.0,180.0,1.8181818181818181,9900.0,120.54166666666667,0.0,AGRICOLA
1.0,0.0,1.8333333333333333,4800.0,183.66666666666666,0.0,AGRICOLA
2.0,0.0,0.7843137254901961,5100.0,183.66666666666666,0.0,AGRICOLA
3.0,0.0,0.6111111111111112,5400.0,183.66666666666666,0.0,AGRICOLA
5.0,0.0,0.0,7800.0,183.66666666666666,0.0,AGRICOLA
6.0,109.0,1.5797101449275361,6900.0,183.66666666666666,0.0,AGRICOLA
7.0,24.0,0.4,6000.0,183.66666666666666,0.0,AGRICOLA
8.0,201.0,3.1904761904761907,6300.0,183.66666666666666,0.0,AGRICOLA
11.0,0.0,0.7017543859649122,5700.0,183.66666666666666,0.0,AGRICOLA
1.0,164.0,2.0246913580246915,8100.0,183.66666666666666,0.0,AGRICOLA
